4.007504e-02 1.211543e-05 9.098302e-04
4.976028e-02 2.070371e-05 1.515773e-03
5.527926e-02 2.864843e-05 1.718418e-03
6.451202e-02 3.435600e-05 1.519097e-03
7.475050e-02 4.662382e-05 2.461575e-03
8.686028e-02 6.146896e-05 2.356456e-03
9.928549e-02 7.920288e-05 3.200292e-03
1.130701e-01 1.181890e-04 3.985790e-03
1.296737e-01 1.648054e-04 5.070054e-03
1.486283e-01 2.217486e-04 5.565236e-03
1.712505e-01 2.839041e-04 6.743399e-03
1.966594e-01 3.822903e-04 7.143807e-03
2.260089e-01 4.931266e-04 8.858254e-03
2.596587e-01 6.440879e-04 1.021067e-02
2.974644e-01 8.428204e-04 1.132410e-02
3.413938e-01 1.115784e-03 1.276522e-02
3.917504e-01 1.454530e-03 1.421017e-02
4.496390e-01 1.845143e-03 1.574548e-02
5.162315e-01 2.358950e-03 1.766164e-02
5.924289e-01 2.957184e-03 1.929220e-02
6.801428e-01 3.674180e-03 2.129276e-02
7.807453e-01 4.544834e-03 2.309552e-02
8.963002e-01 5.581961e-03 2.532509e-02
1.028941e+00 6.774195e-03 2.720346e-02
1.181143e+00 8.189771e-03 2.968462e-02
1.355853e+00 9.889573e-03 3.206038e-02
1.556400e+00 1.199699e-02 3.463072e-02
1.786511e+00 1.475320e-02 3.700549e-02
2.050795e+00 1.853055e-02 3.952681e-02
2.343479e+00 2.372203e-02 4.229372e-02
2.681513e+00 3.057888e-02 4.514606e-02
3.048019e+00 3.977580e-02 4.755440e-02
3.447232e+00 5.172090e-02 4.994388e-02
3.822528e+00 6.337182e-02 5.291405e-02
